marker;iteration;timestamp;sens.KITGripperFTSensor.tz;sens.TestBenchMotor.position;sens.TestBenchMotor.targetPWM;sens.TestBenchMotor.velocityTicksPerMs;sens.TestBenchMotor.rawVelocity;sens.TestBenchMotor.filteredVelocity;ctrl.TestBenchMotor.ControlMode_Velocity1DoF.velocity
;545612;1560955004854219;0.061751;-2.871063;-24;0.000000;0.000000;0.000378;nan
;545613;1560955004855219;0.061751;-2.871063;-25;-1.000000;0.000000;0.000378;nan
;545614;1560955004856223;0.061751;-2.871067;-21;0.000000;-0.003779;0.000000;nan
;545615;1560955004857220;0.061751;-2.871067;-21;0.000000;0.000000;0.000000;nan
;545616;1560955004858203;0.061828;-2.871067;-21;0.000000;0.000000;0.000000;nan
;545617;1560955004859216;0.061906;-2.871067;-21;0.000000;0.000000;0.000000;nan
;545618;1560955004860218;0.061911;-2.871067;-21;0.000000;0.000000;0.000000;nan
;545619;1560955004861219;0.061917;-2.871067;-3;0.000000;0.000000;-0.000378;nan
;545620;1560955004862218;0.061917;-2.871067;-3;0.000000;0.000000;-0.000378;nan
;545621;1560955004863218;0.061926;-2.871067;-3;0.000000;0.000000;-0.000378;nan
;545622;1560955004864221;0.061935;-2.871067;-3;0.000000;0.000000;-0.000378;nan
;545623;1560955004865223;0.061935;-2.871067;-3;0.000000;0.000000;-0.000378;nan
;545624;1560955004866210;0.061935;-2.871067;-14;0.000000;0.000000;0.000000;nan
;545625;1560955004867194;0.061935;-2.871067;-14;0.000000;0.000000;0.000000;nan
;545626;1560955004868191;0.061935;-2.871067;-15;0.000000;0.000000;0.000000;nan
;545627;1560955004869190;0.061894;-2.871067;-15;0.000000;0.000000;0.000000;nan
;545628;1560955004870191;0.061853;-2.871067;-15;0.000000;0.000000;0.000000;nan
;545629;1560955004871193;0.061843;-2.871067;-14;1.000000;0.000000;0.000000;nan
;545630;1560955004872217;0.061843;-2.871063;-25;0.000000;0.003779;0.000378;nan
;545631;1560955004873199;0.061843;-2.871063;-25;-1.000000;0.000000;0.000378;nan
;545632;1560955004874209;0.061843;-2.871067;-21;1.000000;-0.003779;0.000000;nan
;545633;1560955004875230;0.061843;-2.871063;-24;-1.000000;0.003779;0.000378;nan
;545634;1560955004876231;0.061845;-2.871067;-14;0.000000;-0.003779;0.000000;nan
;545635;1560955004877234;0.061857;-2.871067;-21;0.000000;0.000000;0.000000;nan
;545636;1560955004878237;0.061934;-2.871067;-21;0.000000;0.000000;0.000000;nan
;545637;1560955004879234;0.062011;-2.871067;-21;0.000000;0.000000;0.000000;nan
;545638;1560955004880233;0.062011;-2.871067;-20;0.000000;0.000000;0.000000;nan
;545639;1560955004881232;0.062011;-2.871067;-20;1.000000;0.000000;0.000000;nan
;545640;1560955004882233;0.062011;-2.871063;-20;-1.000000;0.003779;0.000000;nan
;545641;1560955004883234;0.062011;-2.871067;-5;1.000000;-0.003779;-0.000378;nan
;545642;1560955004884236;0.061929;-2.871063;-25;0.000000;0.003779;0.000378;nan
;545643;1560955004885227;0.061847;-2.871063;-14;0.000000;0.000000;0.000000;nan
;545644;1560955004886246;0.061847;-2.871063;-25;0.000000;0.000000;0.000378;nan
;545645;1560955004887234;0.061804;-2.871063;-25;-1.000000;0.000000;0.000378;nan
;545646;1560955004888242;0.061761;-2.871067;-20;1.000000;-0.003779;0.000000;nan
;545647;1560955004889248;0.061761;-2.871063;-25;-1.000000;0.003779;0.000378;nan
;545648;1560955004890227;0.061761;-2.871067;-15;1.000000;-0.003779;0.000000;nan
;545649;1560955004891234;0.061761;-2.871063;-25;-1.000000;0.003779;0.000378;nan
;545650;1560955004892243;0.061761;-2.871067;-32;0.000000;-0.003779;-0.000378;nan
;545651;1560955004893243;0.061785;-2.871067;-21;0.000000;0.000000;0.000000;nan
;545652;1560955004894235;0.061809;-2.871067;-32;0.000000;0.000000;-0.000378;nan
;545653;1560955004895233;0.061890;-2.871067;-32;1.000000;0.000000;-0.000378;nan
;545654;1560955004896279;0.061971;-2.871063;-21;-1.000000;0.003779;0.000000;nan
;545655;1560955004897251;0.061992;-2.871067;-32;1.000000;-0.003779;-0.000378;nan
;545656;1560955004898250;0.062012;-2.871063;-25;0.000000;0.003779;0.000378;nan
;545657;1560955004899244;0.062028;-2.871063;-14;0.000000;0.000000;0.000000;nan
;545658;1560955004900261;0.062028;-2.871063;-25;0.000000;0.000000;0.000378;nan
;545659;1560955004901261;0.062028;-2.871063;-21;0.000000;0.000000;0.000000;nan
;545660;1560955004902207;0.062028;-2.871063;-25;0.000000;0.000000;0.000378;nan
;545661;1560955004903213;0.062012;-2.871063;-25;0.000000;0.000000;0.000378;nan
;545662;1560955004904227;0.061985;-2.871063;-25;0.000000;0.000000;0.000378;nan
;545663;1560955004905242;0.061959;-2.871063;-25;-1.000000;0.000000;0.000378;nan
;545664;1560955004906238;0.061923;-2.871067;-33;1.000000;-0.003779;-0.000378;nan
;545665;1560955004907234;0.061887;-2.871063;-25;-1.000000;0.003779;0.000378;nan
;545666;1560955004908234;0.061856;-2.871067;-33;1.000000;-0.003779;-0.000378;nan
;545667;1560955004909244;0.061825;-2.871063;-19;0.000000;0.003779;0.000000;nan
;545668;1560955004910242;0.061825;-2.871063;-14;-1.000000;0.000000;0.000000;nan
;545669;1560955004911233;0.061825;-2.871067;-34;0.000000;-0.003779;-0.000378;nan
;545670;1560955004912236;0.061825;-2.871067;-34;1.000000;0.000000;-0.000378;nan
;545671;1560955004913233;0.061825;-2.871063;-19;0.000000;0.003779;0.000000;nan
;545672;1560955004914226;0.061825;-2.871063;-15;0.000000;0.000000;0.000000;nan
;545673;1560955004915226;0.061909;-2.871063;-15;0.000000;0.000000;0.000000;nan
;545674;1560955004916232;0.061993;-2.871063;-25;-1.000000;0.000000;0.000378;nan
;545675;1560955004917255;0.061997;-2.871067;-33;1.000000;-0.003779;-0.000378;nan
;545676;1560955004918235;0.062001;-2.871063;-25;-1.000000;0.003779;0.000378;nan
;545677;1560955004919234;0.062001;-2.871067;-33;1.000000;-0.003779;-0.000378;nan
;545678;1560955004920227;0.062001;-2.871063;-19;0.000000;0.003779;0.000000;nan
;545679;1560955004921238;0.062001;-2.871063;-25;0.000000;0.000000;0.000378;nan
